estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=M dc=0 h=A dh=- L=B dL=0 preo=A,emergencia,116,0.000000,3.5716,0.8127,3.51219,3.62815
c=A dc=0 h=M dh=+ L=B dL=+ preo=B,emergencia,115,0.000000,0.0272,0.0062,6.21913,11.71298
c=A dc=+ h=A dh=- L=M dL=0 preo=A,emergencia,115,0.000000,4.3839,0.9976,0.20957,0.39912
c=M dc=+ h=B dh=+ L=B dL=+ preo=A,prop_rapida,115,0.000082,0.7492,0.1705,3.76835,6.66570
c=M dc=- h=A dh=+ L=M dL=- preo=B,emergencia,114,0.000000,1.1808,0.2687,1.82200,7.26405
c=B dc=- h=B dh=+ L=M dL=0 preo=M,calma,113,0.000000,0.0012,0.0003,9.38984,16.34014
c=B dc=+ h=B dh=+ L=B dL=0 preo=M,prop_lenta,112,0.000027,0.0074,0.0017,7.06480,14.42530
c=B dc=+ h=B dh=+ L=M dL=+ preo=A,prop_lenta,111,0.000027,0.1426,0.0324,4.38221,9.95928
c=M dc=+ h=B dh=+ L=B dL=0 preo=M,prop_rapida,111,0.000000,0.0005,0.0001,14.03374,14.47206
c=A dc=0 h=M dh=0 L=A dL=+ preo=M,emergencia,111,0.000000,0.8220,0.1871,4.39467,6.46395
c=M dc=0 h=A dh=0 L=B dL=- preo=B,emergencia,110,0.000000,0.0403,0.0092,9.98320,9.86412
c=B dc=- h=B dh=0 L=M dL=+ preo=A,calma,110,0.000000,0.1444,0.0329,5.12013,9.12326
c=M dc=+ h=M dh=+ L=A dL=- preo=B,prop_rapida,109,0.000000,0.0126,0.0029,6.48570,13.55284
c=M dc=0 h=A dh=0 L=M dL=+ preo=A,emergencia,109,0.000000,3.9430,0.8973,1.45399,3.03006
c=A dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,109,0.000000,4.3741,0.9954,0.29697,0.58117
c=M dc=- h=A dh=- L=B dL=0 preo=A,emergencia,109,0.000000,4.0194,0.9146,2.81149,2.92755
c=M dc=0 h=A dh=+ L=A dL=- preo=A,emergencia,108,0.000000,4.1554,0.9456,1.11503,2.49530
c=B dc=- h=B dh=+ L=B dL=- preo=M,calma,108,0.000027,0.1068,0.0243,4.79048,12.67907
c=A dc=- h=B dh=+ L=B dL=+ preo=A,emergencia,107,0.000027,4.3315,0.9857,1.32674,1.64417
c=B dc=+ h=M dh=+ L=M dL=+ preo=M,prop_lenta,106,0.000027,0.0123,0.0028,7.90721,11.79949
c=B dc=0 h=M dh=- L=B dL=0 preo=M,calma,106,0.000000,0.0042,0.0010,12.45375,12.30000
c=A dc=0 h=B dh=0 L=A dL=- preo=B,emergencia,106,0.000000,0.0037,0.0008,10.47545,12.50740
c=M dc=+ h=M dh=- L=B dL=0 preo=A,prop_rapida,106,0.000000,0.0888,0.0202,9.10144,8.99690
c=A dc=0 h=B dh=0 L=M dL=+ preo=M,emergencia,105,0.000000,0.0595,0.0135,9.55146,9.43708
c=A dc=- h=B dh=+ L=M dL=- preo=M,emergencia,105,0.000000,0.5431,0.1236,6.99365,6.92212
c=M dc=0 h=A dh=- L=M dL=+ preo=M,emergencia,105,0.000000,0.5215,0.1187,3.77998,7.15407
c=M dc=- h=M dh=- L=M dL=0 preo=B,calma,104,0.000000,0.0030,0.0007,8.54268,14.42012
c=M dc=- h=M dh=0 L=M dL=0 preo=B,calma,104,0.000000,0.0060,0.0014,7.71096,13.05359
c=B dc=0 h=A dh=+ L=M dL=+ preo=M,emergencia,104,0.000027,0.0334,0.0076,6.06321,12.21975
c=B dc=+ h=M dh=- L=A dL=- preo=A,prop_lenta,104,0.000000,0.0261,0.0059,10.46549,10.33629
c=A dc=0 h=M dh=- L=M dL=+ preo=M,emergencia,103,0.000000,0.0249,0.0057,6.80245,10.78112
c=B dc=+ h=A dh=0 L=M dL=+ preo=B,emergencia,103,0.000000,0.3278,0.0746,2.34894,12.15139
c=B dc=- h=A dh=0 L=B dL=- preo=M,emergencia,103,0.000000,0.0376,0.0085,6.20093,11.32662
c=A dc=+ h=M dh=+ L=M dL=- preo=B,emergencia,103,0.000000,0.1849,0.0421,5.12631,8.35617
c=A dc=0 h=M dh=0 L=M dL=+ preo=A,emergencia,102,0.000000,4.3698,0.9944,0.29036,0.46790
c=M dc=- h=M dh=0 L=B dL=+ preo=B,calma,102,0.000000,0.0007,0.0002,14.35575,14.17852
c=M dc=+ h=B dh=0 L=A dL=- preo=B,prop_rapida,102,0.000000,0.0096,0.0022,7.51179,14.50600
c=A dc=+ h=A dh=+ L=M dL=- preo=B,emergencia,102,0.000000,4.2233,0.9611,1.65532,2.29077
c=M dc=+ h=A dh=- L=A dL=+ preo=A,emergencia,102,0.000000,3.8744,0.8817,1.31859,3.09534
c=M dc=+ h=M dh=0 L=M dL=0 preo=M,prop_rapida,102,0.000000,0.0299,0.0068,6.50005,10.98347
c=B dc=0 h=A dh=0 L=B dL=0 preo=B,emergencia,102,0.000000,0.0539,0.0123,5.93735,11.63102
c=M dc=0 h=B dh=- L=M dL=+ preo=A,calma,101,0.000000,0.0914,0.0208,7.61417,8.98392
c=A dc=+ h=B dh=+ L=M dL=+ preo=M,emergencia,101,0.000000,0.0882,0.0201,5.35044,10.07471
c=A dc=0 h=M dh=+ L=M dL=- preo=B,emergencia,101,0.000000,0.5077,0.1155,4.00396,7.15015
c=A dc=- h=B dh=- L=B dL=+ preo=B,emergencia,100,0.000000,0.0049,0.0011,7.58339,14.46066
c=A dc=- h=A dh=0 L=M dL=- preo=B,emergencia,100,0.000000,4.3513,0.9902,1.02625,1.27362
c=M dc=0 h=B dh=- L=M dL=0 preo=M,calma,99,0.000000,0.0003,0.0001,15.12063,14.94089
c=A dc=- h=A dh=+ L=B dL=+ preo=M,emergencia,99,0.000000,4.3682,0.9940,0.60549,0.95028
c=M dc=+ h=A dh=0 L=M dL=+ preo=A,emergencia,98,0.000000,3.9913,0.9083,1.09389,2.83841
c=M dc=- h=B dh=+ L=A dL=0 preo=A,calma,98,0.000000,0.5134,0.1168,5.52898,7.01001
c=M dc=0 h=M dh=+ L=M dL=+ preo=A,calma,98,0.000055,1.2959,0.2949,4.31540,5.81160
c=B dc=+ h=B dh=0 L=B dL=+ preo=A,prop_lenta,98,0.000055,0.3999,0.0910,7.36608,7.29141
c=A dc=0 h=A dh=+ L=M dL=0 preo=A,emergencia,98,0.000000,4.3480,0.9894,1.01579,1.35673
c=A dc=+ h=B dh=0 L=M dL=- preo=B,emergencia,97,0.000000,0.0007,0.0002,14.35371,14.17810
c=B dc=0 h=M dh=- L=M dL=0 preo=A,calma,97,0.000000,0.8349,0.1900,1.12887,9.12098
c=M dc=0 h=M dh=+ L=M dL=0 preo=M,calma,96,0.000000,0.0868,0.0197,4.72195,10.47834
c=M dc=- h=B dh=0 L=A dL=+ preo=A,calma,96,0.000027,0.1881,0.0428,3.25920,10.10606
c=M dc=- h=B dh=+ L=M dL=- preo=A,calma,96,0.000000,0.1674,0.0381,7.82657,8.29230
c=A dc=0 h=M dh=+ L=M dL=- preo=M,emergencia,96,0.000000,0.0213,0.0048,10.67945,10.55902
c=M dc=0 h=B dh=+ L=A dL=+ preo=M,calma,96,0.000000,0.0768,0.0175,5.62344,10.03378
c=M dc=- h=B dh=0 L=M dL=+ preo=A,calma,96,0.000000,0.2686,0.0611,4.36047,8.80098
c=B dc=- h=B dh=0 L=B dL=0 preo=B,calma,96,0.000000,0.0031,0.0007,9.16511,15.94919
c=A dc=0 h=B dh=+ L=A dL=+ preo=M,emergencia,95,0.000000,0.0258,0.0059,6.75876,10.74726
c=A dc=+ h=B dh=0 L=A dL=+ preo=B,emergencia,95,0.000000,0.0354,0.0080,6.55228,13.45829
c=M dc=0 h=M dh=- L=M dL=0 preo=M,calma,95,0.000000,0.0042,0.0009,12.45803,12.31224
c=M dc=0 h=A dh=0 L=A dL=+ preo=B,emergencia,95,0.000000,0.4719,0.1074,1.84115,8.92682
c=A dc=+ h=M dh=+ L=M dL=- preo=M,emergencia,94,0.000000,0.0098,0.0022,7.80660,11.80903
c=A dc=0 h=A dh=- L=M dL=0 preo=A,emergencia,94,0.000000,4.3825,0.9973,0.00391,0.23709
c=M dc=+ h=A dh=- L=A dL=+ preo=M,emergencia,94,0.000000,0.3781,0.0860,2.66940,8.42341
c=B dc=0 h=M dh=+ L=B dL=- preo=A,calma,94,0.000000,1.9651,0.4472,3.50802,5.15773
c=A dc=+ h=A dh=+ L=B dL=+ preo=B,emergencia,93,0.000000,3.8245,0.8703,2.97370,3.27695
c=M dc=0 h=B dh=0 L=A dL=+ preo=A,calma,93,0.000000,0.3250,0.0739,4.84849,7.74470
c=M dc=0 h=A dh=+ L=A dL=+ preo=M,emergencia,93,0.000027,2.8680,0.6527,0.40816,4.09177
c=B dc=- h=A dh=0 L=A dL=- preo=B,emergencia,93,0.000000,0.0172,0.0039,6.51453,11.81367
c=M dc=- h=A dh=0 L=B dL=- preo=A,emergencia,93,0.000000,4.1754,0.9502,0.37653,2.25331
c=B dc=0 h=B dh=- L=B dL=+ preo=M,calma,92,0.000000,0.0071,0.0016,7.55079,15.15625
c=M dc=- h=M dh=0 L=A dL=0 preo=M,calma,92,0.000000,0.0094,0.0021,11.57391,11.43574
c=B dc=- h=M dh=0 L=B dL=0 preo=B,calma,91,0.000000,0.0019,0.0004,8.59721,16.13461
c=B dc=0 h=B dh=- L=B dL=0 preo=M,calma,91,0.000000,0.0037,0.0008,8.37420,15.24524
c=B dc=+ h=B dh=- L=M dL=0 preo=A,prop_lenta,90,0.000000,0.4554,0.1036,2.09018,8.52170
c=M dc=0 h=B dh=- L=B dL=0 preo=B,calma,90,0.000000,0.0008,0.0002,10.40251,15.98238
c=M dc=- h=M dh=- L=A dL=- preo=M,calma,89,0.000000,0.0109,0.0025,7.73858,12.06005
c=B dc=- h=B dh=0 L=M dL=0 preo=M,calma,88,0.000000,0.0076,0.0017,7.35285,14.77166
c=A dc=+ h=M dh=+ L=A dL=+ preo=B,emergencia,87,0.000000,0.4749,0.1081,2.42725,8.48142
c=A dc=- h=A dh=+ L=M dL=0 preo=M,emergencia,87,0.000000,2.9973,0.6821,3.72662,4.24163
c=B dc=+ h=A dh=0 L=M dL=0 preo=M,emergencia,87,0.000000,0.0116,0.0026,7.07436,12.70647
c=M dc=- h=M dh=0 L=M dL=0 preo=M,calma,86,0.000000,0.0107,0.0024,11.42961,11.30041
c=M dc=+ h=A dh=+ L=M dL=+ preo=B,emergencia,86,0.000000,0.3056,0.0695,3.07007,8.62799
c=A dc=- h=B dh=0 L=M dL=+ preo=M,emergencia,86,0.000000,0.0673,0.0153,6.41579,9.52942
c=B dc=0 h=B dh=+ L=B dL=0 preo=A,calma,85,0.000000,0.1746,0.0397,4.66601,8.71393
c=B dc=+ h=B dh=0 L=M dL=+ preo=A,prop_lenta,85,0.000000,0.3677,0.0837,2.70217,8.46024
c=M dc=0 h=A dh=+ L=B dL=- preo=B,emergencia,85,0.000000,0.0145,0.0033,7.68985,11.35505
c=A dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,84,0.000000,4.3677,0.9939,0.00000,0.20395
c=B dc=- h=A dh=+ L=B dL=- preo=B,emergencia,84,0.000000,0.0029,0.0007,8.29074,14.35800
c=B dc=- h=B dh=- L=M dL=- preo=A,calma,84,0.000000,0.0217,0.0049,7.86930,10.67114
c=M dc=- h=A dh=0 L=A dL=- preo=B,emergencia,83,0.000000,0.0539,0.0123,5.82880,10.06719
c=M dc=+ h=B dh=- L=B dL=0 preo=A,prop_rapida,83,0.000000,0.1863,0.0424,5.60235,8.27025
c=B dc=0 h=A dh=0 L=M dL=0 preo=M,emergencia,83,0.000000,0.1355,0.0308,3.64160,10.68807
c=B dc=0 h=A dh=- L=M dL=0 preo=B,emergencia,82,0.000000,0.0196,0.0045,6.52528,13.57732
c=B dc=- h=B dh=+ L=M dL=0 preo=A,calma,82,0.000000,0.1366,0.0311,4.85730,8.88575
c=M dc=+ h=M dh=+ L=A dL=+ preo=M,prop_rapida,82,0.000000,0.0086,0.0020,11.66801,11.52734
c=B dc=0 h=B dh=+ L=M dL=- preo=A,calma,82,0.000000,0.4784,0.1089,3.30117,7.40748
c=M dc=+ h=A dh=+ L=M dL=0 preo=A,emergencia,82,0.000027,4.0558,0.9229,1.11172,2.72731
c=B dc=0 h=M dh=0 L=A dL=+ preo=A,calma,81,0.000000,0.0547,0.0124,5.99176,9.88163
c=M dc=+ h=A dh=+ L=A dL=+ preo=M,emergencia,81,0.000000,0.0296,0.0067,6.35121,10.77464
c=M dc=+ h=A dh=+ L=B dL=0 preo=A,emergencia,81,0.000000,4.2241,0.9612,1.26319,2.26580
c=A dc=- h=A dh=- L=M dL=+ preo=B,emergencia,80,0.000000,0.4318,0.0983,7.16297,7.20912
c=B dc=+ h=M dh=+ L=A dL=0 preo=B,prop_lenta,80,0.000000,0.0109,0.0025,7.22167,14.00318
c=A dc=- h=A dh=- L=A dL=0 preo=M,emergencia,80,0.000000,4.3577,0.9916,1.18859,1.37505
c=M dc=+ h=M dh=+ L=B dL=0 preo=A,prop_rapida,79,0.000000,3.9285,0.8940,0.18139,2.58884
c=A dc=0 h=M dh=0 L=B dL=+ preo=B,emergencia,78,0.000000,3.3740,0.7678,3.89837,3.85190
c=M dc=0 h=A dh=0 L=M dL=+ preo=M,emergencia,78,0.000000,0.0470,0.0107,9.81099,9.69689
c=A dc=0 h=M dh=+ L=B dL=- preo=A,emergencia,78,0.000027,4.3650,0.9933,0.00000,0.23569
c=B dc=0 h=A dh=+ L=A dL=0 preo=A,emergencia,78,0.000000,3.8729,0.8813,3.22049,3.20321
c=A dc=- h=B dh=+ L=B dL=0 preo=A,emergencia,77,0.000000,4.3559,0.9912,0.86448,1.16779
c=B dc=0 h=A dh=0 L=M dL=+ preo=M,emergencia,77,0.000000,0.0045,0.0010,12.37395,12.23242
c=A dc=+ h=A dh=+ L=B dL=0 preo=B,emergencia,76,0.000000,4.1035,0.9338,2.43449,2.69433
c=B dc=- h=B dh=- L=B dL=+ preo=A,calma,76,0.000000,0.2316,0.0527,2.97666,10.21651
c=A dc=0 h=M dh=0 L=M dL=+ preo=M,emergencia,76,0.000000,0.0238,0.0054,7.30387,10.67012
c=M dc=0 h=A dh=+ L=A dL=- preo=B,emergencia,76,0.000000,0.4837,0.1101,4.25252,7.18423
c=B dc=- h=B dh=0 L=B dL=- preo=M,calma,76,0.000000,0.0002,0.0001,15.56240,15.37027
c=A dc=+ h=M dh=0 L=M dL=+ preo=M,emergencia,75,0.000000,0.0385,0.0088,6.68959,10.16284
c=M dc=+ h=M dh=+ L=B dL=+ preo=M,prop_rapida,75,0.000000,0.0057,0.0013,8.01620,12.70178
c=B dc=- h=A dh=0 L=M dL=0 preo=M,emergencia,75,0.000000,0.0647,0.0147,5.55876,10.38760
c=B dc=+ h=B dh=+ L=M dL=+ preo=M,prop_lenta,75,0.000000,0.0058,0.0013,7.91520,14.44582
c=A dc=0 h=M dh=0 L=B dL=- preo=M,emergencia,74,0.000000,0.0168,0.0038,7.76942,11.09999
c=A dc=+ h=M dh=0 L=B dL=- preo=A,emergencia,74,0.000000,1.8109,0.4121,4.02942,5.28726
c=A dc=+ h=B dh=- L=M dL=- preo=M,emergencia,74,0.000000,0.1325,0.0301,4.57626,9.08671
c=B dc=+ h=B dh=+ L=B dL=+ preo=M,prop_lenta,74,0.000027,0.0032,0.0007,8.19333,14.10724
c=M dc=+ h=M dh=0 L=B dL=+ preo=M,prop_rapida,74,0.000000,0.1709,0.0389,4.09162,9.48330
c=B dc=0 h=B dh=0 L=A dL=- preo=A,calma,74,0.000000,0.5112,0.1163,2.58251,8.89750
c=M dc=- h=M dh=0 L=A dL=+ preo=A,calma,74,0.000000,0.3913,0.0890,6.70947,7.32237
c=B dc=0 h=M dh=0 L=M dL=+ preo=A,calma,73,0.000000,0.0463,0.0105,6.34352,10.00275
c=A dc=+ h=A dh=0 L=M dL=+ preo=A,emergencia,73,0.000000,4.3091,0.9806,1.36558,1.72670
c=A dc=0 h=B dh=+ L=B dL=0 preo=B,emergencia,73,0.000000,0.0017,0.0004,10.03480,14.01027
c=B dc=+ h=M dh=0 L=M dL=+ preo=M,prop_lenta,72,0.000000,0.0064,0.0015,8.26308,12.28562
c=A dc=+ h=B dh=0 L=M dL=+ preo=M,emergencia,72,0.000000,0.0134,0.0030,11.18962,11.05928
c=M dc=- h=A dh=- L=A dL=- preo=M,emergencia,72,0.000000,0.7871,0.1791,6.53954,6.45880
c=A dc=0 h=M dh=- L=B dL=- preo=M,emergencia,72,0.000000,0.1572,0.0358,4.79823,8.68423
c=A dc=0 h=A dh=- L=B dL=- preo=B,emergencia,72,0.000000,4.2998,0.9785,1.79912,1.91769
c=A dc=- h=M dh=- L=A dL=+ preo=A,emergencia,72,0.000000,3.3910,0.7717,3.76473,3.83639
c=A dc=- h=B dh=- L=M dL=- preo=M,emergencia,71,0.000000,0.0420,0.0096,6.05482,10.46266
c=B dc=0 h=A dh=0 L=A dL=- preo=B,emergencia,71,0.000000,0.0023,0.0005,13.11556,12.95364
c=B dc=- h=M dh=- L=A dL=0 preo=A,calma,71,0.000000,0.2859,0.0651,3.41867,8.92214
c=A dc=- h=A dh=0 L=B dL=- preo=B,emergencia,70,0.000000,2.9880,0.6799,4.09437,4.24391
c=B dc=+ h=M dh=+ L=B dL=0 preo=A,prop_lenta,69,0.000000,0.7685,0.1749,6.12709,6.49057
c=M dc=0 h=A dh=- L=M dL=- preo=B,emergencia,69,0.000000,0.3196,0.0727,3.03645,8.50341
c=A dc=- h=A dh=- L=A dL=- preo=M,emergencia,69,0.000000,4.3794,0.9966,0.83874,0.87404
c=M dc=+ h=A dh=+ L=M dL=+ preo=M,emergencia,69,0.000000,0.0737,0.0168,9.30151,9.20252
c=M dc=+ h=M dh=- L=A dL=- preo=B,prop_rapida,69,0.000000,0.0007,0.0002,11.01424,14.51168
c=M dc=- h=A dh=0 L=A dL=0 preo=B,emergencia,68,0.000000,0.2147,0.0489,5.49427,8.11475
c=M dc=0 h=M dh=- L=B dL=+ preo=M,calma,68,0.000000,0.2149,0.0489,4.24344,9.38396
c=M dc=- h=A dh=- L=M dL=+ preo=B,emergencia,68,0.000000,0.3128,0.0712,3.10663,8.37704
c=A dc=+ h=B dh=+ L=B dL=0 preo=A,emergencia,68,0.000000,0.5570,0.1268,6.89120,6.89751
c=B dc=+ h=B dh=0 L=A dL=0 preo=B,prop_lenta,68,0.000000,0.0009,0.0002,9.91483,14.88373
c=M dc=0 h=A dh=0 L=A dL=- preo=A,emergencia,68,0.000000,4.2134,0.9588,1.35140,2.30991
c=A dc=- h=M dh=0 L=A dL=+ preo=A,emergencia,67,0.000000,4.2253,0.9615,2.24943,2.33031
c=A dc=0 h=M dh=+ L=B dL=+ preo=M,emergencia,67,0.000000,0.1707,0.0388,5.04410,8.50502
c=A dc=0 h=B dh=- L=M dL=- preo=M,emergencia,67,0.000000,0.1811,0.0412,4.28249,8.67702
c=B dc=0 h=A dh=0 L=A dL=0 preo=B,emergencia,66,0.000000,0.0051,0.0012,12.23393,12.08289
c=M dc=- h=A dh=+ L=M dL=0 preo=A,emergencia,66,0.000000,3.3009,0.7512,3.81440,3.93435
c=B dc=0 h=B dh=0 L=A dL=0 preo=A,calma,66,0.000000,0.2043,0.0465,4.87453,8.71780
c=B dc=0 h=B dh=- L=M dL=0 preo=A,calma,66,0.000000,0.0197,0.0045,7.11684,11.37480
c=B dc=+ h=M dh=- L=M dL=0 preo=A,prop_lenta,66,0.000000,0.1514,0.0345,4.24519,9.39970
c=A dc=0 h=M dh=0 L=M dL=- preo=B,emergencia,66,0.000000,1.2874,0.2930,5.84049,5.79926
c=M dc=0 h=A dh=- L=A dL=+ preo=M,emergencia,65,0.000000,0.1158,0.0263,5.58457,8.90533
c=M dc=0 h=A dh=+ L=A dL=+ preo=B,emergencia,65,0.000000,0.0094,0.0021,7.29957,12.98562
c=A dc=- h=A dh=- L=M dL=- preo=B,emergencia,65,0.000000,3.9751,0.9046,2.80728,3.01353
c=M dc=+ h=M dh=0 L=A dL=+ preo=M,prop_rapida,65,0.000000,0.0269,0.0061,10.42755,10.30353
c=M dc=0 h=B dh=0 L=A dL=+ preo=M,calma,65,0.000000,0.0018,0.0004,13.35079,13.19401
c=B dc=+ h=B dh=0 L=M dL=+ preo=M,prop_lenta,64,0.000000,0.0023,0.0005,13.11357,12.95167
c=M dc=- h=M dh=+ L=A dL=0 preo=A,calma,64,0.000000,1.2701,0.2890,5.84653,5.81540
c=A dc=- h=M dh=- L=M dL=+ preo=M,emergencia,64,0.000000,0.5041,0.1147,7.07490,7.01324
c=A dc=0 h=M dh=0 L=M dL=- preo=A,emergencia,64,0.000000,4.3800,0.9967,0.24705,0.34311
c=M dc=+ h=A dh=- L=A dL=- preo=A,emergencia,64,0.000000,3.9218,0.8924,3.08452,3.11732
c=M dc=0 h=M dh=+ L=B dL=0 preo=B,calma,64,0.000000,0.0009,0.0002,14.11149,13.93727
c=M dc=+ h=M dh=0 L=A dL=- preo=B,prop_rapida,63,0.000000,0.0218,0.0050,6.00356,13.46256
c=A dc=- h=M dh=- L=M dL=- preo=M,emergencia,63,0.000000,0.0798,0.0182,4.85962,9.93619
c=B dc=0 h=B dh=+ L=M dL=0 preo=A,calma,63,0.000000,0.5833,0.1327,2.46820,7.96718
c=M dc=0 h=B dh=+ L=B dL=0 preo=B,calma,63,0.000000,0.0005,0.0001,14.63739,14.46512
c=A dc=0 h=B dh=0 L=M dL=- preo=M,emergencia,63,0.000000,0.3512,0.0799,5.56633,7.48091
c=A dc=- h=A dh=+ L=B dL=0 preo=M,emergencia,62,0.000000,4.3232,0.9838,0.86476,1.26872
c=A dc=0 h=B dh=- L=B dL=0 preo=B,emergencia,62,0.000000,0.0151,0.0034,11.06541,10.93124
c=M dc=- h=M dh=- L=M dL=+ preo=A,calma,62,0.000000,0.0860,0.0196,9.09436,9.03667
c=A dc=+ h=B dh=+ L=B dL=0 preo=M,emergencia,62,0.000027,0.1301,0.0296,4.87687,8.95906
c=M dc=0 h=A dh=0 L=M dL=- preo=B,emergencia,62,0.000000,0.2332,0.0531,8.00665,7.91318
c=A dc=+ h=M dh=0 L=A dL=+ preo=B,emergencia,62,0.000000,0.0046,0.0010,12.35819,12.20562
c=M dc=- h=A dh=0 L=A dL=- preo=M,emergencia,61,0.000000,3.9149,0.8909,3.09122,3.13178
c=M dc=+ h=A dh=0 L=M dL=- preo=B,emergencia,61,0.000000,0.0170,0.0039,8.18961,10.92444
c=A dc=- h=B dh=0 L=B dL=+ preo=B,emergencia,61,0.000000,0.0087,0.0020,7.49481,13.76231
c=A dc=+ h=M dh=- L=A dL=+ preo=B,emergencia,61,0.000000,0.1784,0.0406,8.31929,8.21658
c=M dc=0 h=A dh=0 L=M dL=+ preo=B,emergencia,61,0.000000,0.2907,0.0662,5.65841,7.70800
c=M dc=- h=A dh=- L=A dL=0 preo=M,emergencia,60,0.000000,0.2608,0.0593,4.59095,8.23471
c=A dc=0 h=B dh=+ L=M dL=+ preo=M,emergencia,60,0.000000,0.0138,0.0031,7.27042,11.53745
c=A dc=+ h=M dh=- L=M dL=- preo=M,emergencia,60,0.000000,0.3155,0.0718,3.28235,8.84956
c=M dc=+ h=B dh=- L=M dL=0 preo=M,prop_rapida,60,0.000000,0.0018,0.0004,13.38822,13.23103
c=M dc=0 h=A dh=- L=A dL=+ preo=B,emergencia,60,0.000000,0.2113,0.0481,8.12303,8.02563
c=A dc=0 h=M dh=- L=M dL=+ preo=B,emergencia,59,0.000000,0.0707,0.0161,9.36292,9.24733
c=M dc=- h=A dh=0 L=A dL=0 preo=M,emergencia,59,0.000000,4.2860,0.9753,1.19913,2.02939
c=A dc=0 h=A dh=0 L=B dL=+ preo=M,emergencia,59,0.000000,4.3699,0.9944,0.00000,0.18383
c=A dc=0 h=A dh=+ L=M dL=+ preo=B,emergencia,58,0.000000,4.2313,0.9629,2.19419,2.29143
c=M dc=- h=A dh=- L=B dL=- preo=M,emergencia,58,0.000000,0.1804,0.0411,6.03973,8.26704
c=B dc=0 h=B dh=+ L=B dL=+ preo=A,calma,58,0.000027,0.0019,0.0004,13.31283,13.15008
c=B dc=- h=B dh=- L=B dL=0 preo=A,calma,58,0.000027,0.0021,0.0005,13.20505,13.04203
c=B dc=- h=A dh=0 L=A dL=0 preo=B,emergencia,58,0.000000,0.4294,0.0977,2.43160,9.95398
c=M dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,58,0.000027,2.5770,0.5864,1.09060,4.56416
c=M dc=- h=A dh=0 L=M dL=0 preo=A,emergencia,57,0.000000,3.8213,0.8696,3.13394,3.28419
c=B dc=+ h=A dh=- L=B dL=0 preo=M,emergencia,57,0.000000,0.0056,0.0013,12.13820,11.99778
c=A dc=+ h=A dh=+ L=B dL=+ preo=M,emergencia,57,0.000000,1.4526,0.3306,5.50918,5.64775
c=A dc=- h=B dh=0 L=A dL=- preo=B,emergencia,57,0.000000,0.0033,0.0007,8.29779,14.71347
c=A dc=+ h=B dh=+ L=M dL=+ preo=A,emergencia,56,0.000027,4.3065,0.9800,1.90228,1.91860
c=A dc=+ h=B dh=+ L=B dL=+ preo=A,emergencia,56,0.000000,3.8274,0.8710,3.24568,3.27611
c=A dc=+ h=M dh=0 L=B dL=0 preo=M,emergencia,56,0.000000,0.0958,0.0218,9.01910,8.91283
c=M dc=+ h=A dh=- L=M dL=+ preo=B,emergencia,56,0.000000,0.0245,0.0056,7.24414,10.64345
c=B dc=- h=B dh=- L=M dL=0 preo=A,calma,56,0.000000,0.0306,0.0070,6.29132,11.40994
c=M dc=- h=A dh=+ L=M dL=+ preo=B,emergencia,56,0.000000,0.8082,0.1839,6.49727,6.42568
c=A dc=+ h=B dh=- L=B dL=- preo=A,emergencia,55,0.000027,0.1481,0.0337,7.52838,8.43583
c=A dc=+ h=B dh=+ L=M dL=- preo=M,emergencia,55,0.000000,0.0079,0.0018,8.30091,11.93743
c=A dc=- h=A dh=0 L=M dL=+ preo=B,emergencia,55,0.000000,4.2993,0.9783,1.67802,1.86229
c=M dc=0 h=A dh=+ L=A dL=0 preo=A,emergencia,55,0.000000,4.2723,0.9722,1.12388,2.07129
c=M dc=0 h=A dh=+ L=M dL=+ preo=B,emergencia,54,0.000000,0.0647,0.0147,4.54000,11.80346
c=M dc=+ h=B dh=- L=M dL=+ preo=A,prop_rapida,54,0.000000,1.5452,0.3516,0.18890,5.79663
c=M dc=0 h=A dh=0 L=A dL=+ preo=M,emergencia,54,0.000000,0.7459,0.1697,6.60591,6.52765
c=M dc=0 h=A dh=- L=A dL=0 preo=A,emergencia,54,0.000000,4.2035,0.9566,0.71873,2.26117
c=A dc=- h=M dh=- L=M dL=+ preo=A,emergencia,54,0.000000,4.3859,0.9980,0.09034,0.23236
c=B dc=0 h=M dh=- L=B dL=+ preo=M,calma,54,0.000000,0.0071,0.0016,7.39724,14.27955
c=B dc=+ h=B dh=+ L=M dL=- preo=A,prop_lenta,53,0.000000,0.1361,0.0310,8.61028,8.52764
c=B dc=+ h=M dh=- L=B dL=+ preo=A,prop_lenta,53,0.000000,0.0702,0.0160,7.00447,9.33179
c=A dc=0 h=A dh=- L=A dL=+ preo=B,emergencia,53,0.000000,4.2408,0.9650,2.30574,2.28570
c=A dc=- h=B dh=+ L=A dL=0 preo=M,emergencia,53,0.000000,0.3573,0.0813,7.51077,7.41989
c=A dc=- h=A dh=0 L=M dL=- preo=M,emergencia,53,0.000000,4.3665,0.9936,0.59007,0.72503
c=A dc=- h=B dh=- L=A dL=- preo=B,emergencia,53,0.000000,0.0038,0.0009,12.57181,12.41660
