estado,fase,mejor_accion,work,school,ptrans,conf,coste,Q_max,visitas
c=M dc=0 h=M dh=+ L=B dL=- preo=B,calma,"(2, 1, 2, 0)",2,1,2,0,5.0,14.8987,2917
c=M dc=0 h=M dh=+ L=B dL=- preo=M,calma,"(2, 1, 1, 2)",2,1,1,2,8.0,12.4566,1114
c=M dc=0 h=M dh=+ L=B dL=- preo=A,calma,"(2, 2, 2, 0)",2,2,2,0,6.0,2.8186,119
c=M dc=0 h=M dh=+ L=B dL=0 preo=B,calma,"(1, 1, 0, 0)",1,1,0,0,2.0,14.1115,64
c=M dc=0 h=M dh=+ L=B dL=0 preo=M,calma,"(0, 2, 1, 2)",0,2,1,2,7.0,11.1501,50
c=M dc=0 h=M dh=+ L=B dL=0 preo=A,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,1
c=M dc=0 h=M dh=+ L=B dL=+ preo=B,calma,"(1, 0, 1, 1)",1,0,1,1,4.0,12.3943,723
c=M dc=0 h=M dh=+ L=B dL=+ preo=M,calma,"(2, 0, 2, 2)",2,0,2,2,8.0,12.8327,37
c=M dc=0 h=M dh=+ L=B dL=+ preo=A,calma,"(0, 1, 1, 0)",0,1,1,0,2.0,4.3083,7
c=M dc=0 h=M dh=+ L=M dL=- preo=B,calma,"(0, 2, 2, 2)",0,2,2,2,8.0,15.3812,2086
c=M dc=0 h=M dh=+ L=M dL=- preo=M,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,13.2680,1077
c=M dc=0 h=M dh=+ L=M dL=- preo=A,calma,"(0, 0, 0, 2)",0,0,0,2,4.0,5.7513,14
c=M dc=0 h=M dh=+ L=M dL=0 preo=B,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,14.5053,297
c=M dc=0 h=M dh=+ L=M dL=0 preo=M,calma,"(0, 0, 1, 2)",0,0,1,2,5.0,10.7308,96
c=M dc=0 h=M dh=+ L=M dL=0 preo=A,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,6.5566,10
c=M dc=0 h=M dh=+ L=M dL=+ preo=B,calma,"(1, 1, 2, 2)",1,1,2,2,8.0,15.6451,4406
c=M dc=0 h=M dh=+ L=M dL=+ preo=M,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,12.1483,450
c=M dc=0 h=M dh=+ L=M dL=+ preo=A,calma,"(2, 1, 1, 2)",2,1,1,2,8.0,5.9067,98
c=M dc=0 h=M dh=+ L=A dL=- preo=B,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,15.6988,358
c=M dc=0 h=M dh=+ L=A dL=- preo=M,calma,"(1, 0, 0, 1)",1,0,0,1,3.0,10.1284,18
c=M dc=0 h=M dh=+ L=A dL=- preo=A,calma,"(0, 2, 0, 1)",0,2,0,1,4.0,5.0070,2
c=M dc=0 h=M dh=+ L=A dL=0 preo=B,calma,"(2, 0, 0, 1)",2,0,0,1,4.0,15.0771,125
c=M dc=0 h=M dh=+ L=A dL=0 preo=M,calma,"(2, 1, 1, 1)",2,1,1,1,6.0,12.9226,16
c=M dc=0 h=M dh=+ L=A dL=0 preo=A,calma,"(1, 0, 2, 0)",1,0,2,0,3.0,1.8885,2
c=M dc=0 h=M dh=+ L=A dL=+ preo=B,calma,"(2, 0, 2, 0)",2,0,2,0,4.0,14.3644,2606
c=M dc=0 h=M dh=+ L=A dL=+ preo=M,calma,"(0, 1, 1, 0)",0,1,1,0,2.0,10.2492,325
c=M dc=0 h=M dh=+ L=A dL=+ preo=A,calma,"(1, 2, 2, 0)",1,2,2,0,5.0,4.4998,26
c=M dc=0 h=A dh=- L=B dL=- preo=B,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,4.5311,36
c=M dc=0 h=A dh=- L=B dL=- preo=M,emergencia,"(1, 2, 1, 1)",1,2,1,1,6.0,7.9393,178
c=M dc=0 h=A dh=- L=B dL=- preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,3.9612,431
c=M dc=0 h=A dh=- L=B dL=0 preo=B,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,1.7213,2
c=M dc=0 h=A dh=- L=B dL=0 preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,7.9710,5
c=M dc=0 h=A dh=- L=B dL=0 preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,3.2945,116
c=M dc=0 h=A dh=- L=B dL=+ preo=B,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,6.8625,2
c=M dc=0 h=A dh=- L=B dL=+ preo=M,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,4.7015,3
c=M dc=0 h=A dh=- L=B dL=+ preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,4.7609,146
c=M dc=0 h=A dh=- L=M dL=- preo=B,emergencia,"(1, 2, 0, 1)",1,2,0,1,5.0,8.7167,69
c=M dc=0 h=A dh=- L=M dL=- preo=M,emergencia,"(2, 0, 1, 0)",2,0,1,0,3.0,6.8712,51
c=M dc=0 h=A dh=- L=M dL=- preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,3.4691,328
c=M dc=0 h=A dh=- L=M dL=0 preo=B,emergencia,"(1, 2, 0, 2)",1,2,0,2,7.0,8.6112,25
c=M dc=0 h=A dh=- L=M dL=0 preo=M,emergencia,"(0, 0, 0, 1)",0,0,0,1,2.0,7.1427,5
c=M dc=0 h=A dh=- L=M dL=0 preo=A,emergencia,"(1, 0, 1, 2)",1,0,1,2,6.0,2.4066,135
c=M dc=0 h=A dh=- L=M dL=+ preo=B,emergencia,"(0, 2, 1, 0)",0,2,1,0,3.0,10.8419,32
c=M dc=0 h=A dh=- L=M dL=+ preo=M,emergencia,"(1, 1, 1, 0)",1,1,1,0,3.0,7.2817,105
c=M dc=0 h=A dh=- L=M dL=+ preo=A,emergencia,"(0, 2, 2, 0)",0,2,2,0,4.0,3.7024,295
c=M dc=0 h=A dh=- L=A dL=- preo=B,emergencia,"(2, 2, 0, 1)",2,2,0,1,6.0,10.2110,47
c=M dc=0 h=A dh=- L=A dL=- preo=M,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,9.2839,8
c=M dc=0 h=A dh=- L=A dL=- preo=A,emergencia,"(1, 2, 0, 1)",1,2,0,1,5.0,2.5469,170
c=M dc=0 h=A dh=- L=A dL=0 preo=B,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,9.2589,30
c=M dc=0 h=A dh=- L=A dL=0 preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,7.9496,5
c=M dc=0 h=A dh=- L=A dL=0 preo=A,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,2.1913,54
c=M dc=0 h=A dh=- L=A dL=+ preo=B,emergencia,"(2, 0, 1, 1)",2,0,1,1,5.0,8.1230,60
c=M dc=0 h=A dh=- L=A dL=+ preo=M,emergencia,"(2, 0, 2, 0)",2,0,2,0,4.0,9.0486,65
c=M dc=0 h=A dh=- L=A dL=+ preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,4.4021,192
c=M dc=0 h=A dh=0 L=B dL=- preo=B,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,9.9832,110
c=M dc=0 h=A dh=0 L=B dL=- preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,10.6605,139
c=M dc=0 h=A dh=0 L=B dL=- preo=A,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,3.0130,329
c=M dc=0 h=A dh=0 L=B dL=0 preo=B,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,11.2966,16
c=M dc=0 h=A dh=0 L=B dL=0 preo=M,emergencia,"(0, 1, 0, 0)",0,1,0,0,1.0,5.5423,5
c=M dc=0 h=A dh=0 L=B dL=0 preo=A,emergencia,"(1, 2, 0, 2)",1,2,0,2,7.0,2.1048,29
c=M dc=0 h=A dh=0 L=B dL=+ preo=B,emergencia,"(0, 2, 1, 1)",0,2,1,1,5.0,9.4340,17
c=M dc=0 h=A dh=0 L=B dL=+ preo=M,emergencia,"(2, 0, 0, 2)",2,0,0,2,6.0,3.2729,3
c=M dc=0 h=A dh=0 L=B dL=+ preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,3.7641,42
c=M dc=0 h=A dh=0 L=M dL=- preo=B,emergencia,"(1, 1, 1, 2)",1,1,1,2,7.0,8.0066,62
c=M dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,4.6579,58
c=M dc=0 h=A dh=0 L=M dL=- preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,2.7424,178
c=M dc=0 h=A dh=0 L=M dL=0 preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,10.4906,18
c=M dc=0 h=A dh=0 L=M dL=0 preo=M,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,4.8940,2
c=M dc=0 h=A dh=0 L=M dL=0 preo=A,emergencia,"(2, 2, 0, 1)",2,2,0,1,6.0,3.1922,49
c=M dc=0 h=A dh=0 L=M dL=+ preo=B,emergencia,"(2, 0, 0, 1)",2,0,0,1,4.0,7.8296,61
c=M dc=0 h=A dh=0 L=M dL=+ preo=M,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,9.8110,78
c=M dc=0 h=A dh=0 L=M dL=+ preo=A,emergencia,"(2, 2, 0, 0)",2,2,0,0,4.0,2.8946,109
c=M dc=0 h=A dh=0 L=A dL=- preo=B,emergencia,"(1, 2, 0, 2)",1,2,0,2,7.0,7.8064,23
c=M dc=0 h=A dh=0 L=A dL=- preo=M,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,6.1996,13
c=M dc=0 h=A dh=0 L=A dL=- preo=A,emergencia,"(0, 1, 0, 2)",0,1,0,2,5.0,2.3491,68
c=M dc=0 h=A dh=0 L=A dL=0 preo=B,emergencia,"(1, 0, 1, 1)",1,0,1,1,4.0,9.9095,18
c=M dc=0 h=A dh=0 L=A dL=0 preo=M,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,7.0740,4
c=M dc=0 h=A dh=0 L=A dL=0 preo=A,emergencia,"(2, 1, 0, 0)",2,1,0,0,3.0,1.1393,34
c=M dc=0 h=A dh=0 L=A dL=+ preo=B,emergencia,"(1, 2, 1, 2)",1,2,1,2,8.0,9.1187,95
c=M dc=0 h=A dh=0 L=A dL=+ preo=M,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,6.6059,54
c=M dc=0 h=A dh=0 L=A dL=+ preo=A,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,3.2415,138
c=M dc=0 h=A dh=+ L=B dL=- preo=B,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,11.5756,85
c=M dc=0 h=A dh=+ L=B dL=- preo=M,emergencia,"(2, 0, 2, 1)",2,0,2,1,6.0,6.7969,438
c=M dc=0 h=A dh=+ L=B dL=- preo=A,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,2.2224,347
c=M dc=0 h=A dh=+ L=B dL=0 preo=B,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,7.7545,3
c=M dc=0 h=A dh=+ L=B dL=0 preo=M,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,8.4852,3
c=M dc=0 h=A dh=+ L=B dL=0 preo=A,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,2.1752,17
c=M dc=0 h=A dh=+ L=B dL=+ preo=B,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,10.1762,8
c=M dc=0 h=A dh=+ L=B dL=+ preo=M,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,5.6015,4
c=M dc=0 h=A dh=+ L=B dL=+ preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,16
c=M dc=0 h=A dh=+ L=M dL=- preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,10.3516,148
c=M dc=0 h=A dh=+ L=M dL=- preo=M,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,8.2441,336
c=M dc=0 h=A dh=+ L=M dL=- preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,2.5156,256
c=M dc=0 h=A dh=+ L=M dL=0 preo=B,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,11.2777,7
c=M dc=0 h=A dh=+ L=M dL=0 preo=M,emergencia,"(2, 0, 1, 1)",2,0,1,1,5.0,6.3185,17
c=M dc=0 h=A dh=+ L=M dL=0 preo=A,emergencia,"(2, 1, 2, 1)",2,1,2,1,7.0,2.0174,39
c=M dc=0 h=A dh=+ L=M dL=+ preo=B,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,12.0789,54
c=M dc=0 h=A dh=+ L=M dL=+ preo=M,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,9.8767,148
c=M dc=0 h=A dh=+ L=M dL=+ preo=A,emergencia,"(0, 2, 1, 2)",0,2,1,2,7.0,2.2237,145
c=M dc=0 h=A dh=+ L=A dL=- preo=B,emergencia,"(2, 0, 1, 2)",2,0,1,2,7.0,7.2969,76
c=M dc=0 h=A dh=+ L=A dL=- preo=M,emergencia,"(1, 0, 2, 1)",1,0,2,1,5.0,4.5622,38
c=M dc=0 h=A dh=+ L=A dL=- preo=A,emergencia,"(2, 0, 0, 2)",2,0,0,2,6.0,2.4875,108
c=M dc=0 h=A dh=+ L=A dL=0 preo=B,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,8.9245,40
c=M dc=0 h=A dh=+ L=A dL=0 preo=M,emergencia,"(1, 2, 1, 2)",1,2,1,2,8.0,3.8012,18
c=M dc=0 h=A dh=+ L=A dL=0 preo=A,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,2.0642,55
c=M dc=0 h=A dh=+ L=A dL=+ preo=B,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,13.3433,65
c=M dc=0 h=A dh=+ L=A dL=+ preo=M,emergencia,"(1, 0, 0, 2)",1,0,0,2,5.0,4.2237,93
c=M dc=0 h=A dh=+ L=A dL=+ preo=A,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,2.5055,138
c=M dc=+ h=B dh=- L=B dL=- preo=B,prop_rapida,"(2, 2, 2, 2)",2,2,2,2,10.0,16.8966,1660887
c=M dc=+ h=B dh=- L=B dL=- preo=M,prop_rapida,"(2, 2, 2, 1)",2,2,2,1,8.0,13.6552,3524
c=M dc=+ h=B dh=- L=B dL=- preo=A,prop_rapida,"(0, 2, 0, 1)",0,2,0,1,4.0,7.8885,427
c=M dc=+ h=B dh=- L=B dL=0 preo=B,prop_rapida,"(2, 1, 2, 2)",2,1,2,2,9.0,16.5616,2103
c=M dc=+ h=B dh=- L=B dL=0 preo=M,prop_rapida,"(0, 1, 2, 1)",0,1,2,1,5.0,11.4056,797
c=M dc=+ h=B dh=- L=B dL=0 preo=A,prop_rapida,"(1, 0, 0, 1)",1,0,0,1,3.0,8.4068,83
c=M dc=+ h=B dh=- L=B dL=+ preo=B,prop_rapida,"(2, 2, 0, 2)",2,2,0,2,8.0,16.2900,10473
c=M dc=+ h=B dh=- L=B dL=+ preo=M,prop_rapida,"(1, 2, 0, 2)",1,2,0,2,7.0,13.2549,358
c=M dc=+ h=B dh=- L=B dL=+ preo=A,prop_rapida,"(2, 1, 0, 1)",2,1,0,1,5.0,8.5388,146
c=M dc=+ h=B dh=- L=M dL=- preo=B,prop_rapida,"(2, 2, 1, 1)",2,2,1,1,7.0,16.5287,5976
c=M dc=+ h=B dh=- L=M dL=- preo=M,prop_rapida,"(2, 1, 1, 1)",2,1,1,1,6.0,13.5973,697
c=M dc=+ h=B dh=- L=M dL=- preo=A,prop_rapida,"(1, 0, 1, 2)",1,0,1,2,6.0,8.4581,4
c=M dc=+ h=B dh=- L=M dL=0 preo=B,prop_rapida,"(2, 2, 2, 2)",2,2,2,2,10.0,16.7365,391
c=M dc=+ h=B dh=- L=M dL=0 preo=M,prop_rapida,"(2, 1, 2, 2)",2,1,2,2,9.0,13.3882,60
c=M dc=+ h=B dh=- L=M dL=0 preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,1
c=M dc=+ h=B dh=- L=M dL=+ preo=B,prop_rapida,"(2, 2, 2, 1)",2,2,2,1,8.0,16.6746,9232
c=M dc=+ h=B dh=- L=M dL=+ preo=M,prop_rapida,"(0, 2, 2, 0)",0,2,2,0,4.0,10.9089,528
c=M dc=+ h=B dh=- L=M dL=+ preo=A,prop_rapida,"(1, 0, 2, 0)",1,0,2,0,3.0,5.9950,54
c=M dc=+ h=B dh=- L=A dL=- preo=B,prop_rapida,"(0, 2, 1, 2)",0,2,1,2,7.0,14.3634,213
c=M dc=+ h=B dh=- L=A dL=- preo=M,prop_rapida,"(1, 2, 0, 0)",1,2,0,0,3.0,5.4143,1
c=M dc=+ h=B dh=- L=A dL=- preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=- L=A dL=0 preo=B,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,14.5280,52
c=M dc=+ h=B dh=- L=A dL=0 preo=M,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=- L=A dL=0 preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=- L=A dL=+ preo=B,prop_rapida,"(0, 2, 2, 0)",0,2,2,0,4.0,14.8193,2300
c=M dc=+ h=B dh=- L=A dL=+ preo=M,prop_rapida,"(2, 2, 1, 1)",2,2,1,1,7.0,12.0752,51
c=M dc=+ h=B dh=- L=A dL=+ preo=A,prop_rapida,"(1, 2, 1, 0)",1,2,1,0,4.0,8.7432,3
c=M dc=+ h=B dh=0 L=B dL=- preo=B,prop_rapida,"(2, 2, 2, 2)",2,2,2,2,10.0,16.9720,1012387
c=M dc=+ h=B dh=0 L=B dL=- preo=M,prop_rapida,"(1, 1, 1, 1)",1,1,1,1,5.0,11.7185,996
c=M dc=+ h=B dh=0 L=B dL=- preo=A,prop_rapida,"(2, 2, 2, 0)",2,2,2,0,6.0,8.6122,222
c=M dc=+ h=B dh=0 L=B dL=0 preo=B,prop_rapida,"(2, 2, 2, 0)",2,2,2,0,6.0,15.5931,923
c=M dc=+ h=B dh=0 L=B dL=0 preo=M,prop_rapida,"(1, 1, 2, 1)",1,1,2,1,6.0,11.9803,35
c=M dc=+ h=B dh=0 L=B dL=0 preo=A,prop_rapida,"(2, 0, 1, 2)",2,0,1,2,7.0,8.9187,45
c=M dc=+ h=B dh=0 L=B dL=+ preo=B,prop_rapida,"(1, 2, 0, 2)",1,2,0,2,7.0,15.6794,4840
c=M dc=+ h=B dh=0 L=B dL=+ preo=M,prop_rapida,"(1, 0, 0, 2)",1,0,0,2,5.0,12.1579,52
c=M dc=+ h=B dh=0 L=B dL=+ preo=A,prop_rapida,"(2, 1, 1, 2)",2,1,1,2,8.0,8.4514,49
c=M dc=+ h=B dh=0 L=M dL=- preo=B,prop_rapida,"(1, 2, 2, 1)",1,2,2,1,7.0,16.2832,3252
c=M dc=+ h=B dh=0 L=M dL=- preo=M,prop_rapida,"(1, 1, 1, 0)",1,1,1,0,3.0,13.1364,269
c=M dc=+ h=B dh=0 L=M dL=- preo=A,prop_rapida,"(1, 0, 1, 2)",1,0,1,2,6.0,7.0250,4
c=M dc=+ h=B dh=0 L=M dL=0 preo=B,prop_rapida,"(1, 2, 2, 0)",1,2,2,0,5.0,14.7445,123
c=M dc=+ h=B dh=0 L=M dL=0 preo=M,prop_rapida,"(1, 1, 0, 1)",1,1,0,1,4.0,13.1682,19
c=M dc=+ h=B dh=0 L=M dL=0 preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=0 L=M dL=+ preo=B,prop_rapida,"(2, 1, 2, 1)",2,1,2,1,7.0,16.1759,3857
c=M dc=+ h=B dh=0 L=M dL=+ preo=M,prop_rapida,"(1, 1, 2, 2)",1,1,2,2,8.0,13.0124,122
c=M dc=+ h=B dh=0 L=M dL=+ preo=A,prop_rapida,"(1, 2, 2, 2)",1,2,2,2,9.0,7.2000,23
c=M dc=+ h=B dh=0 L=A dL=- preo=B,prop_rapida,"(0, 2, 2, 2)",0,2,2,2,8.0,14.9453,102
c=M dc=+ h=B dh=0 L=A dL=- preo=M,prop_rapida,"(1, 0, 0, 0)",1,0,0,0,1.0,4.2662,1
c=M dc=+ h=B dh=0 L=A dL=- preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=0 L=A dL=0 preo=B,prop_rapida,"(0, 0, 1, 0)",0,0,1,0,1.0,13.3883,32
c=M dc=+ h=B dh=0 L=A dL=0 preo=M,prop_rapida,"(0, 0, 0, 1)",0,0,0,1,2.0,5.2396,1
c=M dc=+ h=B dh=0 L=A dL=0 preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=0 L=A dL=+ preo=B,prop_rapida,"(0, 1, 2, 0)",0,1,2,0,3.0,14.6926,946
c=M dc=+ h=B dh=0 L=A dL=+ preo=M,prop_rapida,"(2, 0, 2, 2)",2,0,2,2,8.0,12.0608,14
c=M dc=+ h=B dh=0 L=A dL=+ preo=A,prop_rapida,"(1, 1, 0, 0)",1,1,0,0,2.0,5.7758,3
c=M dc=+ h=B dh=+ L=B dL=- preo=B,prop_rapida,"(2, 2, 2, 2)",2,2,2,2,10.0,16.9203,1895185
c=M dc=+ h=B dh=+ L=B dL=- preo=M,prop_rapida,"(2, 2, 0, 2)",2,2,0,2,8.0,13.3551,1670
c=M dc=+ h=B dh=+ L=B dL=- preo=A,prop_rapida,"(2, 1, 0, 1)",2,1,0,1,5.0,6.8271,2126
c=M dc=+ h=B dh=+ L=B dL=0 preo=B,prop_rapida,"(1, 0, 2, 2)",1,0,2,2,7.0,14.9854,1471
c=M dc=+ h=B dh=+ L=B dL=0 preo=M,prop_rapida,"(2, 2, 0, 2)",2,2,0,2,8.0,14.6568,111
c=M dc=+ h=B dh=+ L=B dL=0 preo=A,prop_rapida,"(1, 1, 2, 2)",1,1,2,2,8.0,8.5044,228
c=M dc=+ h=B dh=+ L=B dL=+ preo=B,prop_rapida,"(2, 2, 0, 2)",2,2,0,2,8.0,16.2552,7536
c=M dc=+ h=B dh=+ L=B dL=+ preo=M,prop_rapida,"(1, 1, 1, 1)",1,1,1,1,5.0,12.5671,47
c=M dc=+ h=B dh=+ L=B dL=+ preo=A,prop_rapida,"(0, 2, 0, 2)",0,2,0,2,6.0,6.8038,115
c=M dc=+ h=B dh=+ L=M dL=- preo=B,prop_rapida,"(2, 2, 1, 2)",2,2,1,2,9.0,16.6974,5617
c=M dc=+ h=B dh=+ L=M dL=- preo=M,prop_rapida,"(2, 0, 1, 2)",2,0,1,2,7.0,11.6486,297
c=M dc=+ h=B dh=+ L=M dL=- preo=A,prop_rapida,"(0, 1, 1, 1)",0,1,1,1,4.0,7.3240,20
c=M dc=+ h=B dh=+ L=M dL=0 preo=B,prop_rapida,"(1, 2, 0, 2)",1,2,0,2,7.0,15.2405,243
c=M dc=+ h=B dh=+ L=M dL=0 preo=M,prop_rapida,"(1, 2, 2, 2)",1,2,2,2,9.0,13.7333,32
c=M dc=+ h=B dh=+ L=M dL=0 preo=A,prop_rapida,"(0, 2, 0, 2)",0,2,0,2,6.0,7.9251,6
c=M dc=+ h=B dh=+ L=M dL=+ preo=B,prop_rapida,"(2, 2, 2, 1)",2,2,2,1,8.0,16.6064,6120
c=M dc=+ h=B dh=+ L=M dL=+ preo=M,prop_rapida,"(1, 2, 2, 2)",1,2,2,2,9.0,13.7396,175
c=M dc=+ h=B dh=+ L=M dL=+ preo=A,prop_rapida,"(2, 0, 1, 0)",2,0,1,0,3.0,5.1044,172
c=M dc=+ h=B dh=+ L=A dL=- preo=B,prop_rapida,"(2, 0, 1, 2)",2,0,1,2,7.0,14.6459,220
c=M dc=+ h=B dh=+ L=A dL=- preo=M,prop_rapida,"(2, 2, 1, 2)",2,2,1,2,9.0,5.1080,2
c=M dc=+ h=B dh=+ L=A dL=- preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=+ L=A dL=0 preo=B,prop_rapida,"(0, 1, 2, 0)",0,1,2,0,3.0,15.2679,32
c=M dc=+ h=B dh=+ L=A dL=0 preo=M,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=+ L=A dL=0 preo=A,prop_rapida,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=+ h=B dh=+ L=A dL=+ preo=B,prop_rapida,"(1, 2, 2, 2)",1,2,2,2,9.0,15.7243,1549
c=M dc=+ h=B dh=+ L=A dL=+ preo=M,prop_rapida,"(1, 2, 2, 0)",1,2,2,0,5.0,13.1063,26
c=M dc=+ h=B dh=+ L=A dL=+ preo=A,prop_rapida,"(1, 0, 1, 1)",1,0,1,1,4.0,8.4241,14
c=M dc=+ h=M dh=- L=B dL=- preo=B,prop_rapida,"(2, 2, 2, 2)",2,2,2,2,10.0,16.4947,259547
c=M dc=+ h=M dh=- L=B dL=- preo=M,prop_rapida,"(2, 2, 2, 1)",2,2,2,1,8.0,13.4043,8974
c=M dc=+ h=M dh=- L=B dL=- preo=A,prop_rapida,"(2, 2, 1, 2)",2,2,1,2,9.0,11.3444,408
c=M dc=+ h=M dh=- L=B dL=0 preo=B,prop_rapida,"(1, 2, 2, 2)",1,2,2,2,9.0,15.7429,597
c=M dc=+ h=M dh=- L=B dL=0 preo=M,prop_rapida,"(2, 1, 1, 1)",2,1,1,1,6.0,12.6803,780
c=M dc=+ h=M dh=- L=B dL=0 preo=A,prop_rapida,"(0, 2, 0, 2)",0,2,0,2,6.0,9.1014,106
c=M dc=+ h=M dh=- L=B dL=+ preo=B,prop_rapida,"(2, 2, 0, 2)",2,2,0,2,8.0,15.6065,1858
c=M dc=+ h=M dh=- L=B dL=+ preo=M,prop_rapida,"(0, 1, 2, 0)",0,1,2,0,3.0,9.6032,192
c=M dc=+ h=M dh=- L=B dL=+ preo=A,prop_rapida,"(1, 1, 2, 1)",1,1,2,1,6.0,9.6588,35
c=M dc=+ h=M dh=- L=M dL=- preo=B,prop_rapida,"(1, 1, 2, 0)",1,1,2,0,4.0,14.5985,1434
c=M dc=+ h=M dh=- L=M dL=- preo=M,prop_rapida,"(0, 0, 2, 1)",0,0,2,1,4.0,11.0331,1325
c=M dc=+ h=M dh=- L=M dL=- preo=A,prop_rapida,"(1, 1, 0, 0)",1,1,0,0,2.0,10.3740,28
c=M dc=+ h=M dh=- L=M dL=0 preo=B,prop_rapida,"(0, 2, 2, 1)",0,2,2,1,6.0,14.5108,256
c=M dc=+ h=M dh=- L=M dL=0 preo=M,prop_rapida,"(1, 0, 2, 0)",1,0,2,0,3.0,11.9052,226
c=M dc=+ h=M dh=- L=M dL=0 preo=A,prop_rapida,"(2, 2, 0, 1)",2,2,0,1,6.0,8.7217,14
c=M dc=+ h=M dh=- L=M dL=+ preo=B,prop_rapida,"(2, 0, 2, 1)",2,0,2,1,6.0,14.2582,2951
c=M dc=+ h=M dh=- L=M dL=+ preo=M,prop_rapida,"(2, 1, 1, 2)",2,1,1,2,8.0,12.4378,330
c=M dc=+ h=M dh=- L=M dL=+ preo=A,prop_rapida,"(0, 1, 0, 0)",0,1,0,0,1.0,7.0683,40
